序号,所属平台,订单号,下单用户,规格,总金额,运费,快递单号,快递公司
"	98","	微信","	20210316200926294402","	Lazarus","	颜色：白色，",10.00,,"	","	"
"	99","	微信","	20210314173231612086","	π","	杯子：黑色-礼盒装，",96.00,0.00,"	SF1121955340208","	顺丰速运"
"	100","	微信","	20210314132047482316","	加油 努力 坚强","	规格：默认，",246.00,,"	","	"
"	101","	微信","	20210314132047482316","	加油 努力 坚强","	颜色：白色，",246.00,,"	","	"
"	102","	微信","	20210314132047482316","	加油 努力 坚强","	内存：16G，接口：3.0，",246.00,,"	","	"
"	103","	微信","	20210309183620126757","	永忘","	规格：默认，",504.00,0.00,"	","	"
"	104","	微信","	20210303212607894036","	期与","	套餐：观光塔，",139.00,0.00,"	75444782468762","	中通快递"
"	105","	微信","	20210301082947571634","	7+11","	束口包：420D，",16.00,,"	","	"
"	106","	微信","	20210110190408663557","	濫舟","	规格：默认，",50.00,11.00,"	","	"
"	107","	微信","	20210110190408663557","	濫舟","	仅支持自提（勿拍）：黑色（蝴蝶扣），",50.00,11.00,"	","	"
"	108","	微信","	20210110190408663557","	濫舟","	规格：默认，",50.00,11.00,"	","	"
"	109","	微信","	20210110185030100121","	祖母绿这么累","	规格：好事将至，",27.20,8.00,"	75430356212806","	中通快递"
"	110","	微信","	20210110171425684337","	祖母绿这么累","	规格：萬事勝意，",19.20,,"	","	"
"	111","	微信","	20210110163459581554","	祖母绿这么累","	规格：萬事大吉，",27.20,8.00,"	75430356297683","	中通快递"
"	112","	微信","	20210110162911892516","	祖母绿这么累","	规格：平安喜樂，",29.20,10.00,"	75430356749652","	中通快递"
"	113","	微信","	20201227114007264679","	姜小新","	规格：萬事勝意，",69.60,0.00,"	","	"
"	114","	微信","	20201227114007264679","	姜小新","	规格：好事将至，",69.60,0.00,"	","	"
"	115","	微信","	20201227114007264679","	姜小新","	规格：出門見喜，",69.60,0.00,"	","	"
"	116","	微信","	20201227114007264679","	姜小新","	规格：明信片套装，",69.60,0.00,"	","	"
"	117","	微信","	20201227001308199415","	天鸽","	规格：好事将至，",27.20,8.00,"	75430357129929","	中通快递"
"	118","	微信","	20201226205417310871","	whatever","	规格：平安喜樂，",32.20,13.00,"	75430357207757","	中通快递"
"	119","	微信","	20201226083859617414","	Mk","	规格：默认，",164.00,0.00,"	75430354917003","	中通快递"
"	120","	微信","	20201226083859617414","	Mk","	规格：默认，",164.00,0.00,"	75430354917003","	中通快递"
"	121","	微信","	20201226083859617414","	Mk","	规格：默认，",164.00,0.00,"	75430354917003","	中通快递"
"	122","	微信","	20201226083859617414","	Mk","	套餐：观光塔，",164.00,0.00,"	75430354917003","	中通快递"
"	123","	微信","	20201210202950995660","	爱薪倔骡","	杯子：黑色-礼盒装，",56.00,8.00,"	75420546704769","	中通快递"
"	124","	微信","	20201202225426701348","	","	规格：默认，",52.00,13.00,"	7314 3636 0479 97","	中通快递"
"	125","	微信","	20201202225426701348","	","	规格：默认，",52.00,13.00,"	7314 3636 0479 97","	中通快递"
"	126","	微信","	20201202225426701348","	","	颜色：浅灰，",52.00,13.00,"	7314 3636 0479 97","	中通快递"
"	127","	微信","	20201128184430764495","	星芒","	规格：默认，",187.00,0.00,"	","	"
"	128","	微信","	20201126104145328175","	张俊豪","	规格：默认，",23.00,0.00,"	","	"
"	129","	微信","	20201123142104368971","	玢延","	套餐：观光塔，",139.00,0.00,"	","	"
"	130","	微信","	20201119152318461384","	Y.Mr","	规格：默认，",33.00,13.00,"	75414970267931","	中通快递"
"	131","	微信","	20201119152318461384","	Y.Mr","	规格：默认，",33.00,13.00,"	75414970267931","	中通快递"
"	132","	微信","	20201112210832740349","	長安","	规格：默认，",57.00,0.00,"	","	"
"	133","	微信","	20201112210832740349","	長安","	颜色：浅灰，",57.00,0.00,"	","	"
"	134","	微信","	20201107101114829115","	王琳Elina","	尺码：L，颜色：灰色，",267.00,0.00,"	75409531352649","	中通快递"
"	135","	微信","	20201107101114829115","	王琳Elina","	套餐：观光塔，",267.00,0.00,"	75409531352649","	中通快递"
"	136","	微信","	20201104130239722008","	云淡风轻","	规格：默认，",98.00,0.00,"	73141493435445","	中通快递"
"	137","	微信","	20201103092208616136","	欢乐马","	尺码：S，颜色：米色，",186.00,0.00,"	73141493590489","	中通快递"
"	138","	微信","	20201103092208616136","	欢乐马","	书包：酒红色，",186.00,0.00,"	73141493590489","	中通快递"
"	139","	微信","	20201102121229396192","	请叫我OLEG","	19款黑白：L，",59.00,0.00,"	73141338216105","	中通快递"
"	140","	微信","	20201102121201184452","	请叫我OLEG","	19蓝白款：XXXL，",59.00,0.00,"	73141338216105","	中通快递"
"	141","	微信","	20201102121130607966","	请叫我OLEG","	19款红白：M，颜色：红色，",59.00,0.00,"	73141338216105","	中通快递"
"	142","	微信","	20201028154851918856","	芥川","	规格：默认，",23.00,0.00,"	","	"
"	143","	微信","	20201028154524987614","	(??ω??)","	规格：默认，",23.00,0.00,"	","	"
"	144","	微信","	20201027125012511110","	星芒","	规格：默认，",63.00,0.00,"	","	"
"	145","	微信","	20201027125012511110","	星芒","	类型：竖版（XDU），",63.00,0.00,"	","	"
"	146","	微信","	20201027125012511110","	星芒","	束口包：420D，",63.00,0.00,"	","	"
"	147","	微信","	20201026211352374128","	柴郡大人","	套餐：观光塔，",139.00,0.00,"	75404878970974","	中通快递"
"	148","	微信","	20201026192532673572","	某只狗","	套餐：观光塔+防尘罩，",167.00,8.00,"	75404876139382","	中通快递"
"	149","	微信","	20201026192348163335","	Sephiroth","	规格：默认，",10.00,0.00,"	SF1093300556536","	顺丰速运"
"	150","	微信","	20201025234938331980","	Sephiroth","	规格：默认，",28.00,13.00,"	SF1093300556536","	顺丰速运"
"	151","	微信","	20201024001009915952","	刘昱辰","	规格：默认，",38.00,8.00,"	","	"
"	152","	微信","	20201024001009915952","	刘昱辰","	规格：默认，",38.00,8.00,"	","	"
"	153","	微信","	20201021103329164709","	こころ","	规格：默认，",69.00,0.00,"	SF1093300532190","	顺丰速运"
"	154","	微信","	20201021103329164709","	こころ","	规格：默认，",69.00,0.00,"	SF1093300532190","	顺丰速运"
"	155","	微信","	20201021103329164709","	こころ","	仅支持自提（勿拍）：黑色（磁吸），",69.00,0.00,"	SF1093300532190","	顺丰速运"
"	156","	微信","	20201021103329164709","	こころ","	颜色：灰色，",69.00,0.00,"	SF1093300532190","	顺丰速运"
"	157","	微信","	20201021103329164709","	こころ","	颜色：白色，",69.00,0.00,"	SF1093300532190","	顺丰速运"
"	158","	微信","	20201021103329164709","	こころ","	颜色：浅蓝，",69.00,0.00,"	SF1093300532190","	顺丰速运"
"	159","	微信","	20201021103329164709","	こころ","	颜色：浅灰，",69.00,0.00,"	SF1093300532190","	顺丰速运"
"	160","	微信","	20201014083445656803","	myys-","	规格：默认，",68.00,0.00,"	","	"
"	161","	微信","	20200922154459296369","	Monster","	书包：红蓝，",88.00,0.00,"	","	"
"	1","	微信","	20200916211015966155","	","	规格：默认，",28.00,8.00,"	","	"
"	2","	微信","	20200916211015966155","	","	规格：默认，",28.00,8.00,"	","	"
"	3","	微信","	20200909193205377559","	笑哈哈哈","	规格：默认，",165.00,0.00,"	SF1094458001211","	顺丰速运"
"	4","	微信","	20200826191603779322","	-f","	颜色：浅灰，",24.00,0.00,"	","	"
"	5","	微信","	20200825172205770902","	Louis","	尺码：L，颜色：粉色，",98.00,0.00,"	","	"
"	6","	微信","	20200825123855451655","	?","	规格：默认，",138.00,0.00,"	","	"
"	7","	微信","	20200825123715571377","	Louis","	薄荷绿：L，",88.00,0.00,"	","	"
